Australian Bureau of Statistics

"2006 Census - Counting Dwellings, Place of Enumeration"
"Local Government Areas"
"Counting: Dwellings Place of Enumeration"

Filters:
"Default Summation","Dwellings Place of Enumeration"

"Counting","Local Government Areas","Count",
"Dwellings Place of Enumeration","Alpine (S)",6697
"Dwellings Place of Enumeration","Ararat (RC)",5129
"Dwellings Place of Enumeration","Ballarat (C)",36247
"Dwellings Place of Enumeration","Banyule (C)",46283
"Dwellings Place of Enumeration","Bass Coast (S)",21522
"Dwellings Place of Enumeration","Baw Baw (S)",15843
"Dwellings Place of Enumeration","Bayside (C)",36862
"Dwellings Place of Enumeration","Benalla (RC)",6222
"Dwellings Place of Enumeration","Boroondara (C)",63090
"Dwellings Place of Enumeration","Brimbank (C)",60073
"Dwellings Place of Enumeration","Buloke (S)",3315
"Dwellings Place of Enumeration","Campaspe (S)",15644
"Dwellings Place of Enumeration","Cardinia (S)",21045
"Dwellings Place of Enumeration","Casey (C)",74960
"Dwellings Place of Enumeration","Central Goldfields (S)",5998
"Dwellings Place of Enumeration","Colac-Otway (S)",10792
"Dwellings Place of Enumeration","Corangamite (S)",7584
"Dwellings Place of Enumeration","Darebin (C)",55342
"Dwellings Place of Enumeration","East Gippsland (S)",20997
"Dwellings Place of Enumeration","Frankston (C)",49009
"Dwellings Place of Enumeration","Gannawarra (S)",5210
"Dwellings Place of Enumeration","Glen Eira (C)",54434
"Dwellings Place of Enumeration","Glenelg (S)",9270
"Dwellings Place of Enumeration","Golden Plains (S)",6190
"Dwellings Place of Enumeration","Greater Bendigo (C)",39689
"Dwellings Place of Enumeration","Greater Dandenong (C)",47430
"Dwellings Place of Enumeration","Greater Geelong (C)",88138
"Dwellings Place of Enumeration","Greater Shepparton (C)",23242
"Dwellings Place of Enumeration","Hepburn (S)",7445
"Dwellings Place of Enumeration","Hindmarsh (S)",3015
"Dwellings Place of Enumeration","Hobsons Bay (C)",33992
"Dwellings Place of Enumeration","Horsham (RC)",8271
"Dwellings Place of Enumeration","Hume (C)",50471
"Dwellings Place of Enumeration","Indigo (S)",6183
"Dwellings Place of Enumeration","Kingston (C)",56724
"Dwellings Place of Enumeration","Knox (C)",53678
"Dwellings Place of Enumeration","Latrobe (C)",30287
"Dwellings Place of Enumeration","Loddon (S)",4064
"Dwellings Place of Enumeration","Macedon Ranges (S)",15279
"Dwellings Place of Enumeration","Manningham (C)",41071
"Dwellings Place of Enumeration","Mansfield (S)",5187
"Dwellings Place of Enumeration","Maribyrnong (C)",27880
"Dwellings Place of Enumeration","Maroondah (C)",39999
"Dwellings Place of Enumeration","Melbourne (C)",41239
"Dwellings Place of Enumeration","Melton (S)",27924
"Dwellings Place of Enumeration","Mildura (RC)",21222
"Dwellings Place of Enumeration","Mitchell (S)",12093
"Dwellings Place of Enumeration","Moira (S)",12353
"Dwellings Place of Enumeration","Monash (C)",62993
"Dwellings Place of Enumeration","Moonee Valley (C)",46112
"Dwellings Place of Enumeration","Moorabool (S)",10183
"Dwellings Place of Enumeration","Moreland (C)",59293
"Dwellings Place of Enumeration","Mornington Peninsula (S)",77941
"Dwellings Place of Enumeration","Mount Alexander (S)",8283
"Dwellings Place of Enumeration","Moyne (S)",7178
"Dwellings Place of Enumeration","Murrindindi (S)",7400
"Dwellings Place of Enumeration","Nillumbik (S)",20117
"Dwellings Place of Enumeration","Northern Grampians (S)",6018
"Dwellings Place of Enumeration","Port Phillip (C)",49217
"Dwellings Place of Enumeration","Pyrenees (S)",3362
"Dwellings Place of Enumeration","Queenscliffe (B)",2650
"Dwellings Place of Enumeration","South Gippsland (S)",13915
"Dwellings Place of Enumeration","Southern Grampians (S)",7779
"Dwellings Place of Enumeration","Stonnington (C)",45061
"Dwellings Place of Enumeration","Strathbogie (S)",4860
"Dwellings Place of Enumeration","Surf Coast (S)",14523
"Dwellings Place of Enumeration","Swan Hill (RC)",8825
"Dwellings Place of Enumeration","Towong (S)",3038
"Dwellings Place of Enumeration","Wangaratta (RC)",11554
"Dwellings Place of Enumeration","Warrnambool (C)",12760
"Dwellings Place of Enumeration","Wellington (S)",19676
"Dwellings Place of Enumeration","West Wimmera (S)",2257
"Dwellings Place of Enumeration","Whitehorse (C)",59463
"Dwellings Place of Enumeration","Whittlesea (C)",42574
"Dwellings Place of Enumeration","Wodonga (RC)",13310
"Dwellings Place of Enumeration","Wyndham (C)",40904
"Dwellings Place of Enumeration","Yarra (C)",34779
"Dwellings Place of Enumeration","Yarra Ranges (S)",53674
"Dwellings Place of Enumeration","Yarriambiack (S)",3598
"Dwellings Place of Enumeration","VIC Unincorporated",1532
"Dwellings Place of Enumeration","Total",2089493

"Data source: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
