Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"LGA"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"Counting","LGA","Count",
"Dwellings, Location on Census Night","Alpine (S)",6933
"Dwellings, Location on Census Night","Ararat (RC)",5216
"Dwellings, Location on Census Night","Ballarat (C)",40473
"Dwellings, Location on Census Night","Banyule (C)",48198
"Dwellings, Location on Census Night","Bass Coast (S)",24180
"Dwellings, Location on Census Night","Baw Baw (S)",18697
"Dwellings, Location on Census Night","Bayside (C)",37962
"Dwellings, Location on Census Night","Benalla (RC)",6633
"Dwellings, Location on Census Night","Boroondara (C)",65155
"Dwellings, Location on Census Night","Brimbank (C)",65423
"Dwellings, Location on Census Night","Buloke (S)",3279
"Dwellings, Location on Census Night","Campaspe (S)",16370
"Dwellings, Location on Census Night","Cardinia (S)",28149
"Dwellings, Location on Census Night","Casey (C)",87393
"Dwellings, Location on Census Night","Central Goldfields (S)",6312
"Dwellings, Location on Census Night","Colac-Otway (S)",11318
"Dwellings, Location on Census Night","Corangamite (S)",7667
"Dwellings, Location on Census Night","Darebin (C)",58523
"Dwellings, Location on Census Night","East Gippsland (S)",22747
"Dwellings, Location on Census Night","Frankston (C)",53328
"Dwellings, Location on Census Night","Gannawarra (S)",5210
"Dwellings, Location on Census Night","Glen Eira (C)",56268
"Dwellings, Location on Census Night","Glenelg (S)",9545
"Dwellings, Location on Census Night","Golden Plains (S)",7321
"Dwellings, Location on Census Night","Greater Bendigo (C)",43649
"Dwellings, Location on Census Night","Greater Dandenong (C)",50100
"Dwellings, Location on Census Night","Greater Geelong (C)",95759
"Dwellings, Location on Census Night","Greater Shepparton (C)",25284
"Dwellings, Location on Census Night","Hepburn (S)",8096
"Dwellings, Location on Census Night","Hindmarsh (S)",3043
"Dwellings, Location on Census Night","Hobsons Bay (C)",35392
"Dwellings, Location on Census Night","Horsham (RC)",8903
"Dwellings, Location on Census Night","Hume (C)",57598
"Dwellings, Location on Census Night","Indigo (S)",6619
"Dwellings, Location on Census Night","Kingston (C)",59850
"Dwellings, Location on Census Night","Knox (C)",56171
"Dwellings, Location on Census Night","Latrobe (C)",32482
"Dwellings, Location on Census Night","Loddon (S)",4143
"Dwellings, Location on Census Night","Macedon Ranges (S)",17048
"Dwellings, Location on Census Night","Manningham (C)",42622
"Dwellings, Location on Census Night","Mansfield (S)",5550
"Dwellings, Location on Census Night","Maribyrnong (C)",31102
"Dwellings, Location on Census Night","Maroondah (C)",41927
"Dwellings, Location on Census Night","Melbourne (C)",53431
"Dwellings, Location on Census Night","Melton (S)",38740
"Dwellings, Location on Census Night","Mildura (RC)",22766
"Dwellings, Location on Census Night","Mitchell (S)",13845
"Dwellings, Location on Census Night","Moira (S)",13224
"Dwellings, Location on Census Night","Monash (C)",65617
"Dwellings, Location on Census Night","Moonee Valley (C)",46109
"Dwellings, Location on Census Night","Moorabool (S)",11580
"Dwellings, Location on Census Night","Moreland (C)",63372
"Dwellings, Location on Census Night","Mornington Peninsula (S)",83624
"Dwellings, Location on Census Night","Mount Alexander (S)",8813
"Dwellings, Location on Census Night","Moyne (S)",7610
"Dwellings, Location on Census Night","Murrindindi (S)",7240
"Dwellings, Location on Census Night","Nillumbik (S)",21020
"Dwellings, Location on Census Night","Northern Grampians (S)",6150
"Dwellings, Location on Census Night","Port Phillip (C)",52414
"Dwellings, Location on Census Night","Pyrenees (S)",3540
"Dwellings, Location on Census Night","Queenscliffe (B)",2776
"Dwellings, Location on Census Night","South Gippsland (S)",15134
"Dwellings, Location on Census Night","Southern Grampians (S)",7926
"Dwellings, Location on Census Night","Stonnington (C)",47118
"Dwellings, Location on Census Night","Strathbogie (S)",5046
"Dwellings, Location on Census Night","Surf Coast (S)",16671
"Dwellings, Location on Census Night","Swan Hill (RC)",9176
"Dwellings, Location on Census Night","Towong (S)",3031
"Dwellings, Location on Census Night","Wangaratta (RC)",12425
"Dwellings, Location on Census Night","Warrnambool (C)",13983
"Dwellings, Location on Census Night","Wellington (S)",21012
"Dwellings, Location on Census Night","West Wimmera (S)",2310
"Dwellings, Location on Census Night","Whitehorse (C)",61596
"Dwellings, Location on Census Night","Whittlesea (C)",55096
"Dwellings, Location on Census Night","Wodonga (RC)",14750
"Dwellings, Location on Census Night","Wyndham (C)",59215
"Dwellings, Location on Census Night","Yarra (C)",36924
"Dwellings, Location on Census Night","Yarra Ranges (S)",56572
"Dwellings, Location on Census Night","Yarriambiack (S)",3613
"Dwellings, Location on Census Night","Unincorporated Vic",1661
"Dwellings, Location on Census Night","Total",2282751

"Data source: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
